SensorType,Data,DateTime,SerialNumber,HubName
Soil Temperature (°C),25.12,2020-01-31 1:27:25 AM,559023,hub1
Soil Temperature (°C),25.12,2020-01-31 1:27:26 AM,559023,hub1
Soil Temperature (°C),25.23,2020-01-31 1:27:27 AM,559023,hub1
Soil Temperature (°C),25.2,2020-01-31 1:27:28 AM,559023,hub1
Soil Temperature (°C),25.15,2020-01-31 1:27:29 AM,559023,hub1
Soil Temperature (°C),25.06,2020-01-31 1:27:30 AM,559023,hub1
Soil Temperature (°C),25.18,2020-01-31 1:27:31 AM,559023,hub1
Soil Temperature (°C),25.15,2020-01-31 1:27:32 AM,559023,hub1
Soil Temperature (°C),25.12,2020-01-31 1:27:33 AM,559023,hub1
Soil Temperature (°C),25.24,2020-01-31 1:27:34 AM,559023,hub1
Soil Temperature (°C),25.09,2020-01-31 1:27:35 AM,559023,hub1
Soil Temperature (°C),25.16,2020-01-31 1:27:36 AM,559023,hub1
Soil Temperature (°C),25,2020-01-31 1:27:37 AM,559023,hub1
Soil Temperature (°C),24.99,2020-01-31 1:27:38 AM,559023,hub1
Soil Temperature (°C),25.1,2020-01-31 1:27:39 AM,559023,hub1
Soil Temperature (°C),25.11,2020-01-31 1:27:40 AM,559023,hub1
Soil Temperature (°C),25.14,2020-01-31 1:27:41 AM,559023,hub1
Soil Temperature (°C),25.06,2020-01-31 1:27:42 AM,559023,hub1
Soil Temperature (°C),25.1,2020-01-31 1:27:43 AM,559023,hub1
Soil Temperature (°C),25.07,2020-01-31 1:27:44 AM,559023,hub1
Soil Temperature (°C),25.08,2020-01-31 1:27:45 AM,559023,hub1
Soil Temperature (°C),25.14,2020-01-31 1:27:46 AM,559023,hub1
Soil Temperature (°C),25.14,2020-01-31 1:27:47 AM,559023,hub1
Soil Temperature (°C),25.09,2020-01-31 1:27:48 AM,559023,hub1
Soil Temperature (°C),25.11,2020-01-31 1:27:49 AM,559023,hub1
Soil Temperature (°C),25.14,2020-01-31 1:27:50 AM,559023,hub1
Soil Temperature (°C),25.07,2020-01-31 1:27:51 AM,559023,hub1
Soil Temperature (°C),25.13,2020-01-31 1:27:52 AM,559023,hub1
Soil Temperature (°C),25.08,2020-01-31 1:27:53 AM,559023,hub1
Soil Temperature (°C),25.12,2020-01-31 1:27:54 AM,559023,hub1
Soil Temperature (°C),25.02,2020-01-31 1:27:55 AM,559023,hub1
Soil Temperature (°C),24.95,2020-01-31 1:27:56 AM,559023,hub1
Soil Temperature (°C),25.2,2020-01-31 1:27:57 AM,559023,hub1
Soil Temperature (°C),25.21,2020-01-31 1:27:59 AM,559023,hub1
Soil Temperature (°C),25.09,2020-01-31 1:28:00 AM,559023,hub1
Soil Temperature (°C),25.04,2020-01-31 1:28:01 AM,559023,hub1
Soil Temperature (°C),25.08,2020-01-31 1:28:01 AM,559023,hub1
Soil Temperature (°C),25.08,2020-01-31 1:28:02 AM,559023,hub1
Soil Temperature (°C),25.04,2020-01-31 1:28:03 AM,559023,hub1
Soil Temperature (°C),25.09,2020-01-31 1:28:05 AM,559023,hub1
Soil Temperature (°C),25,2020-01-31 1:28:06 AM,559023,hub1
Soil Temperature (°C),22.86,2020-01-31 1:37:33 AM,559023,hub1
Soil Temperature (°C),22.75,2020-01-31 1:37:34 AM,559023,hub1
